Time,X5,X4,X3,X2,X1,X0,C
0,0,0,0,0,0,0,1
0.00370432807560271,0,0,0,0,0,1,1
0.145260981716263,0,0,0,0,0,1,0
0.179705360780612,0,0,0,0,1,1,0
0.193470658944518,0,0,0,0,1,0,1
0.307626116182105,0,0,0,0,1,1,1
0.487884440973212,0,0,0,0,1,1,0
0.687581923944536,0,0,0,0,1,1,0
0.763141150169212,0,0,0,1,1,1,0
0.847128541774524,0,0,0,1,0,1,0
0.879606264605979,0,0,0,1,0,0,1
0.955609880327783,0,0,0,1,0,1,1
1.01716178143451,0,0,0,1,0,1,0
1.21053496262491,0,0,0,1,1,1,0
1.28384737325438,0,0,0,1,1,0,1
1.44791181808082,0,0,0,1,1,1,1
1.47170396601755,0,0,0,1,1,1,0
1.53177279230683,0,0,0,1,1,1,0
1.54244590609311,0,0,0,1,1,1,0
1.62904588665736,0,0,1,1,1,1,0
1.68066033767708,0,0,1,0,1,1,0
1.73042496711475,0,0,1,0,0,1,0
1.79488428923401,0,0,1,0,0,0,1
1.92420453347221,0,0,1,0,0,1,1
2.21493321836716,0,0,1,0,0,1,0
2.41767062176521,0,0,1,0,1,1,0
2.5510166715483,0,0,1,0,1,0,1
2.60095017979307,0,0,1,0,1,1,1
2.7375953883737,0,0,1,0,1,1,0
2.77668985104669,0,0,1,0,1,1,0
3.10182950714,0,0,1,1,1,1,0
3.13259133969812,0,0,1,1,0,1,0
3.17710856152163,0,0,1,1,0,0,1
3.18725535764367,0,0,1,1,0,1,1
3.27012080408022,0,0,1,1,0,1,0
3.40334580511812,0,0,1,1,1,1,0
3.55513355991232,0,0,1,1,1,0,1
3.58026647376194,0,0,1,1,1,1,1
3.82434115907788,0,0,1,1,1,1,0
4.03328276721244,0,0,1,1,1,1,0
4.19350191574937,0,0,1,1,1,1,0
4.20875727080691,0,0,1,1,1,1,0
4.37090822040709,0,1,1,1,1,1,0
4.42946583796156,0,1,0,1,1,1,0
4.54324136587527,0,1,0,0,1,1,0
4.54831558202361,0,1,0,0,0,1,0
4.60062983756106,0,1,0,0,0,0,1
4.60862516046503,0,1,0,0,0,1,1
4.78607025957221,0,1,0,0,0,1,0
4.92700540744442,0,1,0,0,1,1,0
5.05409220095046,0,1,0,0,1,0,1
5.16166018816638,0,1,0,0,1,1,1
5.17946366000223,0,1,0,0,1,1,0
5.22498885329992,0,1,0,0,1,1,0
5.38861289116374,0,1,0,1,1,1,0
5.49769681858808,0,1,0,1,0,1,0
5.6631196057779,0,1,0,1,0,0,1
5.72012617778635,0,1,0,1,0,1,1
5.72663713285042,0,1,0,1,0,1,0
5.83319751016189,0,1,0,1,1,1,0
5.83915248296761,0,1,0,1,1,0,1
5.84783221793435,0,1,0,1,1,1,1
5.84988435457599,0,1,0,1,1,1,0
5.89964167329988,0,1,0,1,1,1,0
5.96002245807889,0,1,0,1,1,1,0
6.00335655129863,0,1,1,1,1,1,0
6.11172923596561,0,1,1,0,1,1,0
6.36986093584414,0,1,1,0,0,1,0
6.73544583567768,0,1,1,0,0,0,1
6.79656639248121,0,1,1,0,0,1,1
6.83136592351201,0,1,1,0,0,1,0
6.87899597132335,0,1,1,0,1,1,0
6.90263539287773,0,1,1,0,1,0,1
6.9961499846667,0,1,1,0,1,1,1
7.23896515978995,0,1,1,0,1,1,0
7.25354006417405,0,1,1,0,1,1,0
7.2862072806795,0,1,1,1,1,1,0
7.53424256186439,0,1,1,1,0,1,0
7.74616300246535,0,1,1,1,0,0,1
7.93945534845632,0,1,1,1,0,1,1
8.05246040482854,0,1,1,1,0,1,0
8.19231634777372,0,1,1,1,1,1,0
8.38844399408389,0,1,1,1,1,0,1
8.49809227309275,0,1,1,1,1,1,1
8.63895401041173,0,1,1,1,1,1,0
8.68265342718533,0,1,1,1,1,1,0
8.70336936674773,0,1,1,1,1,1,0
8.75541969709917,0,1,1,1,1,1,0
8.83163818425449,0,1,1,1,1,1,0
8.89669233073022,1,1,1,1,1,1,0
9.02131565546967,1,0,1,1,1,1,0
9.09527898283303,1,0,0,1,1,1,0
9.31415790975476,1,0,0,0,1,1,0
9.43457664489887,1,0,0,0,0,1,0
9.86042785565321,1,0,0,0,0,0,1
10.1720206535897,1,0,0,0,0,1,1
10.2248897144741,1,0,0,0,0,1,0
10.2306990382814,1,0,0,0,1,1,0
10.2968340056682,1,0,0,0,1,0,1
10.3907794896499,1,0,0,0,1,1,1
10.3965314253848,1,0,0,0,1,1,0
10.754019596014,1,0,0,0,1,1,0
10.8042112101137,1,0,0,1,1,1,0
11.4854403972111,1,0,0,1,0,1,0
11.590492153535,1,0,0,1,0,0,1
11.6224824301228,1,0,0,1,0,1,1
11.6901960275846,1,0,0,1,0,1,0
11.7042127657387,1,0,0,1,1,1,0
11.7567203303858,1,0,0,1,1,0,1
11.980933840776,1,0,0,1,1,1,1
12.4026327295625,1,0,0,1,1,1,0
12.6561610010143,1,0,0,1,1,1,0
12.7592508260935,1,0,0,1,1,1,0
12.808110291376,1,0,1,1,1,1,0
13.0088194605565,1,0,1,0,1,1,0
13.0499283843939,1,0,1,0,0,1,0
13.0504796563083,1,0,1,0,0,0,1
13.078261198927,1,0,1,0,0,1,1
13.1961938270348,1,0,1,0,0,1,0
13.233298532671,1,0,1,0,1,1,0
13.2515408078218,1,0,1,0,1,0,1
13.5625485563446,1,0,1,0,1,1,1
13.7479614834354,1,0,1,0,1,1,0
13.8197185260269,1,0,1,0,1,1,0
13.8857507663933,1,0,1,1,1,1,0
14.1941152758186,1,0,1,1,0,1,0
14.3156653053823,1,0,1,1,0,0,1
14.3933077918812,1,0,1,1,0,1,1
14.5447630169237,1,0,1,1,0,1,0
14.6554810536589,1,0,1,1,1,1,0
14.9590896100862,1,0,1,1,1,0,1
15.0266202643599,1,0,1,1,1,1,1
15.168624441581,1,0,1,1,1,1,0
15.1986969285244,1,0,1,1,1,1,0
15.2364214868344,1,0,1,1,1,1,0
15.2749838339115,1,0,1,1,1,1,0
15.4090930132086,1,1,1,1,1,1,0
15.4839419742901,1,1,0,1,1,1,0
15.4950248244843,1,1,0,0,1,1,0
15.6534588902475,1,1,0,0,0,1,0
15.8354546792209,1,1,0,0,0,0,1
15.8448519196691,1,1,0,0,0,1,1
15.8541592498696,1,1,0,0,0,1,0
15.880648153451,1,1,0,0,1,1,0
15.9339340455247,1,1,0,0,1,0,1
15.9602611634364,1,1,0,0,1,1,1
16.0379959280852,1,1,0,0,1,1,0
16.1289971331437,1,1,0,0,1,1,0
16.3203518927779,1,1,0,1,1,1,0
16.3345304037614,1,1,0,1,0,1,0
16.3908700862557,1,1,0,1,0,0,1
16.4684264277572,1,1,0,1,0,1,1
16.5971535053421,1,1,0,1,0,1,0
16.7165482063476,1,1,0,1,1,1,0
16.7657435654252,1,1,0,1,1,0,1
16.9870896656344,1,1,0,1,1,1,1
17.064468231382,1,1,0,1,1,1,0
17.0876150252207,1,1,0,1,1,1,0
17.1285925117964,1,1,0,1,1,1,0
17.2016335581917,1,1,1,1,1,1,0
17.2127182381848,1,1,1,0,1,1,0
17.226165932705,1,1,1,0,0,1,0
17.4448782391413,1,1,1,0,0,0,1
17.5522387533085,1,1,1,0,0,1,1
17.6896080834033,1,1,1,0,0,1,0
17.8453730089994,1,1,1,0,1,1,0
18.0737297626284,1,1,1,0,1,0,1
18.1475733245903,1,1,1,0,1,1,1
18.6458986814796,1,1,1,0,1,1,0
18.6561788135649,1,1,1,0,1,1,0
18.6790796231735,1,1,1,1,1,1,0
18.7999579198147,1,1,1,1,0,1,0
18.8440099976763,1,1,1,1,0,0,1
19.0155589124507,1,1,1,1,0,1,1
19.0216143450355,1,1,1,1,0,1,0
19.073476308256,1,1,1,1,1,1,0
19.250643561019,1,1,1,1,1,0,1
19.3018684888827,1,1,1,1,1,1,1
19.4898190053275,1,1,1,1,1,1,0
19.5545078100948,1,1,1,1,1,1,0
19.5647531450031,1,1,1,1,1,1,0
19.6595050135182,1,1,1,1,1,1,0
19.6710202251238,1,1,1,1,1,1,0
19.861899680169,0,1,1,1,1,1,0
